Date,Cars_Japan,Cars_world,Ind_growth,Treatment,time
03/2010,0.945218,2.615428,27.72,0,1
04/2010,0.731827,2.431156,23.64,0,2
05/2010,0.709111,2.425249,19.06,0,3
06/2010,0.862099,2.545261,15.96,0,4
07/2010,0.867237,2.427708,15.63,0,5
08/2010,0.691644,2.355591,14.40,0,6
09/2010,0.924994,2.606329,12.42,0,7
10/2010,0.751416,2.753551,6.53,0,8
11/2010,0.801963,2.534053,5.98,0,9
12/2010,0.747864,2.497622,5.73,0,10
01/2011,0.706102,2.508528,3.59,0,11
02/2011,0.795649,2.606409,3.77,0,12
03/2011,0.403933,2.960721,-13.48,1,13
04/2011,0.292043,2.706127,-12.55,1,14
05/2011,0.48975,2.802025,-6.39,1,15
06/2011,0.742525,2.733933,-1.68,1,16
07/2011,0.790318,2.672947,-1.57,1,17
08/2011,0.704088,2.693776,-0.29,1,18
09/2011,0.883598,2.973673,-2.69,1,19
10/2011,0.904246,2.823725,1.88,1,20
11/2011,0.838128,3.073288,-1.85,1,21
12/2011,0.84825,2.778315,-0.48,1,22
01/2012,0.837192,2.80076,-0.58,1,23
02/2012,0.952256,3.065643,-1.34,1,24
03/2012,0.984653,3.176541,17.87,1,25